0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,class
4.0,12.0,4.0,15.0,1.0,5.0,3.0,1.0,1.0,34.5,3.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0
2.0,12.0,2.0,30.0,1.0,2.0,2.0,1.0,1.0,34.0,3.0,1.0,1.0,1.4848484848484849,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
2.0,12.0,0.0,30.0,1.0,2.0,2.0,3.0,2.0,25.0,3.0,2.0,1.21875,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
4.0,36.0,2.0,33.0,1.0,3.0,2.0,2.0,3.0,34.5,3.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
1.0,24.0,4.0,14.0,2.0,4.0,3.0,1.0,1.0,26.0,3.0,2.0,1.0,2.0,1.0,0.3870967741935484,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0
2.0,48.0,2.0,60.0,1.0,3.0,2.0,2.0,1.0,22.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1
4.0,36.0,2.0,9.0,3.0,5.0,3.0,4.0,2.0,34.5,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0
1.0,24.0,2.0,31.0,1.0,2.0,2.0,1.0,2.0,27.0,3.0,1.5454545454545454,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1
1.0,22.666666666666668,2.0,22.0,2.0,4.0,3.0,3.0,3.0,30.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
4.0,24.0,3.0,25.0,1.0,5.0,3.0,4.0,3.0,47.0,3.0,2.0,2.0,1.0,1.0,0.3870967741935484,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1
1.0,24.0,1.0,28.0,3.0,3.0,3.0,4.0,1.0,22.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0606060606060606,0.0,1.0,0.0,1.0,0
2.0,12.0,2.0,13.0,4.0,5.0,3.0,4.0,1.0,54.0,3.0,1.0,1.0,2.0,1.0,0.3870967741935484,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0
4.0,36.0,3.0,96.0,1.0,2.0,1.0,1.0,3.0,28.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1
2.484848484848485,10.0,4.0,13.0,5.0,4.0,3.0,2.0,2.0,27.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0
4.0,48.0,4.0,61.0,1.0,3.0,2.636363636363636,3.0,4.0,31.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
3.0,12.0,2.0,30.0,1.0,3.0,4.0,1.0,3.0,24.0,2.6875,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0
1.0,24.0,2.0,31.0,1.0,2.0,3.0,1.0,4.0,22.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7272727272727273,0.0,1.0,0
4.0,24.0,4.0,52.0,1.0,5.0,3.0,4.0,3.0,33.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0
2.0,12.0,2.0,9.0,1.0,3.433333333333333,3.0,4.0,3.0,41.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1
2.0,18.0,2.0,19.0,5.0,2.0,2.0,3.0,1.0,27.0,2.6875,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
